w,p,d,c
413.74984882053633,671,0.229723457151983,0.006946947792790173
366.58273341249316,819,0.002870674162555115,1.6936190823532633e-05
377.8640720467893,974,0.012439887879510374,0.0019701865124822767
13652.422292462265,33,0.004484675875130314,0.00019113372115673902
231.8764156240282,448,0.0010456092428611443,6.148329983465632e-05
163.28240500183034,880,0.041524366306032096,7.308134463772136e-05
6577.71240744889,569,0.004221765293308839,0.006965669293518254
751.1718259890978,841,0.005032825179495431,0.00015992612842584533
563.6287743393874,292,0.002204714421022785,0.00011178867165346752
18048.076906290586,504,0.00764801231365023,5.149653136534538e-06
89438.30845860236,291,0.0047673969306427505,0.003251650959208911
118.32971905078934,736,0.08810458382012265,2.57055960653121e-06
951.8055681351813,878,0.00433597919051995,2.3182140978712393e-05
215.31894398462617,826,0.01918615718769798,0.0005613396238641184
1159.9088019388273,596,0.0032013350121117023,1.0179920367726864e-05
8664.612065387568,859,0.014875794277099546,0.00012068682021359747
279.27748160111474,449,0.010229823208912676,1.1964860690761787e-05
1220.7884484269107,62,0.004783335713232959,0.006037449646942791
2082.7508219479478,664,0.09902010433307096,0.0003552271518616421
558.5572531703556,114,0.012719369578414585,6.202310816725072e-06
52589.56177026219,298,0.19893509537960502,0.003407151803836777
9423.390478120125,503,0.3021152128153079,0.0004915498205149315
876.6131632974609,205,0.0010827426751419775,0.00012037965411044751
2565.263812503509,973,0.0010002229871496808,0.00044045141272573853
761.4589621587575,69,0.006204542075461949,0.002086582970213661
3690.891109184163,79,0.017534567158879726,5.288598951298283e-05
19577.645086433593,670,0.10820186060198886,1.5408560892175484e-05
1468.971635188153,511,0.02021767158364447,1.89019144418069e-05
269.3492084170675,337,0.06232672770813715,0.0053961537634911304
57093.06591211024,60,0.06604464053221257,0.000524743062572218
306.6156798389373,953,0.020541106085576414,0.0005083412056455983
46861.78424068378,427,0.28698835499949527,0.00014888909968579115
18534.561264431308,963,0.03416147971804894,2.0959343513510636e-05
59017.2705084614,225,0.0036158432575788078,0.0003314771094293089
1484.0918108445364,252,0.043603850500368614,0.0004574491344934301
43298.80283207625,213,0.00691359777651289,0.0008248970874622542
4423.009829501174,383,0.0011448835386592736,0.0007460221807361264
201.66762094680294,218,0.06446043313634298,0.002213666598857117
26157.296265473233,766,0.002332521305203027,0.00013082536695090325
17493.574523662075,16,0.04145597404771419,3.870842970357668e-05
67819.25942593777,1003,0.2418425494211682,0.004172369615336524
76121.66283785374,115,0.005565224541492907,0.0003629479724149811
197.50218779423815,453,0.002383589109596639,1.2347744227682167e-06
3627.606571843109,716,0.012511248430332215,5.50363971459772e-06
41923.28631251219,484,0.06718674643815865,1.7484165030851466e-06
354.13413041770565,706,0.0036992699567197835,1.6097290492992405e-06
18976.653505719376,573,0.011257942687973288,0.00015304783603504074
38181.40953674979,371,0.020565882430847518,0.003538130737951972
1415.7460014344526,589,0.08405378823459252,0.0019117870766384372
627.5449857314201,947,0.00816924717150468,8.183687046309723e-05
53143.98574856172,606,0.0021541397860166387,0.0003207878879608269
317.4091806743519,26,0.04533122817018031,0.006264206498442045
4527.254416212536,306,0.010085599301484663,0.0010489793037370668
330.25731265938055,93,0.057725047326450694,0.00022891745415381813
12462.297712620213,408,0.002390434659225625,0.00032036466671769154
622.337206615965,389,0.1604207403878869,0.0006734829211202366
1095.82999283344,18,0.0071976140568749455,0.009899553022045388
2571.9061526770347,532,0.27138638591376374,0.00013915056314486784
504.60540697071235,228,0.1266997030820397,0.0014370777313187349
26000.613013259277,559,0.0029160520299416266,4.840772206351171e-05
1064.4017431880238,303,0.007146519459250418,0.00041308228104874336
408.5736538447514,246,0.1505339548291469,0.0012662436424958929
263.1103788487343,256,0.013356222793621537,2.3131320302278637e-05
36959.95100769421,914,0.029360544909274464,0.0035249149416532646
71699.95481454337,955,0.0013182967809823023,0.006382972596828445
6261.094668944434,43,0.30183648208940606,0.000802863556618016
6367.020937424886,834,0.21537003808755278,5.1300558396648385e-06
303.21869301587583,203,0.010388192967492197,0.0002444962506181485
768.2366061912948,459,0.19835865165185174,2.0036943507795715e-05
97152.18676627432,787,0.007389848398372342,0.0005641517926822714
18459.063326442883,484,0.019471090607381118,4.713183011997941e-06
25210.264114087353,970,0.00509243766022896,1.732488719026234e-05
516.185019224556,1018,0.08937633087793585,0.002905803940794474
1295.4006957597255,323,0.0014080256705003393,0.0001315510516041882
2867.646866427786,800,0.05928264079885171,3.723448899867885e-05
51898.37751000397,756,0.03679603801342161,3.524026910754458e-05
5874.635686664543,732,0.004545023574763661,1.1082760791477527e-05
51519.611368116704,991,0.03786783600100818,0.00011914962489575418
38250.31824932165,239,0.05166571477297556,0.0006231246176044043
22663.957167044093,145,0.01064240229777431,0.00028213409850663863
2475.293519593265,249,0.00631775139927044,4.9316971609975784e-05
29796.61245782263,992,0.006685710150625395,3.84504394046465e-06
906.0342248412348,517,0.004821137157507096,0.0014938898312647417
11861.287900031957,229,0.12184780428160874,0.003406855420748697
887.6106292899062,920,0.0023752511460987877,0.005846171883046035
248.4116813313674,886,0.0011095809358484328,0.0078097803058297674
36706.969064617915,703,0.004209598460079852,0.00276904755039418
873.6719486677105,352,0.1363910316919026,0.0002487273364146886
1697.6907600171776,653,0.2059826258736714,0.00028995065581689854
255.39470500692858,594,0.1813678818946463,1.2242018075665708e-06
126.86229201857954,476,0.005707749173180392,0.0022645269415868074
766.3296283967179,492,0.15602877102260898,1.5719915078250698e-06
65158.763765018746,648,0.019985291973867194,4.8406385758739e-05
