w,p,d,c,speedup_model
891.3702253302545,372,0.0046160032616891,7.078556083768723e-05,0
316.9114746005747,359,0.0455509275464291,1.3973135708436128e-05,3
359.7328970180215,739,0.0972337549919097,5.253870704831653e-05,3
54819.00716937331,590,0.0569742218968505,0.005571787901945,1
1160.3494484528987,250,0.067347714769726,0.0027678818382587,1
94328.51544318556,519,0.0381821943674938,0.0003349646512925,0
62217.49730355827,147,0.0104899927552959,0.000145965984455,2
14946.963399561508,774,0.0038133926756701,0.000231697368553,2
36791.430004967806,444,0.0265292200930896,1.677550998235177e-05,3
6437.333405545203,795,0.0119017096523766,0.0001242951385276,3
204.1767754213794,639,0.0108566280205219,0.0008821125655586,1
137.34408272776554,964,0.0132885115661994,0.0028262617760793,3
106.00629350991387,198,0.0045655012779673,8.396621674774975e-06,0
2712.726136663984,7,0.1344670493067635,0.0007123052820351,0
4336.210254637394,123,0.0182653675723872,0.0012046627928872,1
3923.011761710786,252,0.0032956066572658,2.7644856761622044e-06,2
8564.236693795245,794,0.0286198140500132,0.0007001739163532,0
198.2370226344624,959,0.0033049655059939,1.8596053565917157e-05,1
248.15835676948632,266,0.1620755340253685,0.0039242025707922,2
1622.8264430578756,574,0.0011723577240253,2.497903269324094e-06,2
48736.08149779435,229,0.0498476707656397,0.00028809581228,2
7585.504123643285,330,0.0011572763443841,1.5027944026576873e-06,1
485.6196578584734,663,0.0405268726387565,0.0005708974734498,0
38382.21615144149,559,0.0024334830645081,1.1435946398149774e-05,2
9241.34457211131,399,0.2076394984408922,1.9994121852449093e-06,0
498.6095389384421,59,0.0961351068248934,0.0038628345380143,0
11118.004763750712,791,0.0039302558932992,0.0040870108781963,3
9998.743723354044,519,0.223529597892469,6.005853998779831e-06,0
97273.3421769542,125,0.166640232995161,5.773742994565167e-05,1
8511.647329062547,186,0.0026230564223675,0.0001043255662621,2
2295.1839893563765,947,0.0104683080557328,0.0004449845453867,0
4686.172712586935,83,0.0093572248348316,0.0076079576296758,1
405.6260557079207,64,0.1404349795109225,1.1045595229275584e-05,0
878.0507254229562,433,0.0726117913103103,0.0039725506709517,2
2342.484413826601,141,0.026142368016651,0.0003273589351749,2
1906.9517037812604,671,0.0027749775217052,2.127900023793288e-05,1
213.0541331480187,534,0.0127532992464614,2.3239274614533776e-06,3
13794.5429658447,522,0.0046188745644963,0.0018693078474122,3
930.697629074142,121,0.0063064938153919,2.5715561706776243e-05,0
817.781076362904,377,0.008547521458344,0.0010064703551263,2
6327.452561227352,356,0.0024780675260688,5.012437832849869e-05,1
111.04369440693743,631,0.0089658185172449,5.583814982795943e-06,3
7933.05521674258,229,0.1306107529200627,3.730918768380256e-06,0
8552.790378185493,330,0.0167399338223426,9.795506949179992e-05,1
4782.4109777759095,621,0.1202172855048016,1.3397605474855094e-05,0
34826.2555996445,909,0.0027430718048899,2.5542065324945635e-06,3
33201.59910935627,104,0.0096188614336665,0.0052109889799829,2
7219.804956068852,926,0.0015679074193549,7.661048160753356e-05,1
5081.204012442436,248,0.0076526011038127,0.0001280123798953,2
7577.456798560697,361,0.0076999412548719,1.391067146845367e-06,3
2749.585970202604,377,0.0014150881917692,1.5321854455279806e-06,1
161.9504201277676,977,0.0033270826436086,2.3464753233857344e-06,3
1922.4509113712195,910,0.0239925376054241,0.0051331372109992,1
14874.799276727046,245,0.015489138128873,0.0062809822971784,2
21501.685636495396,828,0.00427078412635,4.982258677743006e-05,1
50941.50530584272,514,0.0059723536998123,0.000429261279677,2
139.53405071403682,204,0.0652298237665673,0.0025941658507787,1
1235.28437002133,652,0.2373336902212473,0.0071424818186978,0
598.2996144369085,935,0.0029304972624382,1.6306583998989606e-06,2
3948.9980582387343,116,0.0014025829990212,1.9342234409281795e-06,3
105.5467324588996,639,0.0013628288647198,0.0021894705498736,1
8838.61298360719,26,0.003139811891199,2.597128237378083e-05,0
7279.26680158489,912,0.0010913130205219,0.0057037486500349,0
2486.9894304608265,837,0.0124033141453257,0.0017869410677257,1
41044.80744256936,769,0.0982886097738335,1.7222990001273283e-06,3
33157.79094555786,70,0.0406649366378653,0.0009789884757767,0
1576.6720265399213,681,0.0297225921914363,0.0050610137781037,3
41284.31279170371,84,0.0016960521960096,4.7193728903029e-06,2
1128.7744430342568,752,0.0092099778176827,1.962056774566753e-05,0
24539.501701950227,690,0.0029442407391351,0.002452114246241,1
23355.49444530732,439,0.0143624671674816,0.0018339160539926,2
1047.6533559194957,587,0.1027559656496409,2.5892180798980486e-06,3
4071.393722919327,604,0.0109642854798325,0.0003243172526201,2
2901.2255295010104,114,0.1459774870590424,0.0084141139398831,0
88263.89472048964,627,0.0607469733370434,8.770801252897233e-06,0
1266.6090680650527,492,0.0116687260178803,5.9590533694827605e-06,0
21961.14436611577,997,0.0847058102300725,3.2594582539956584e-06,0
25201.05489191708,761,0.0098053253011162,1.655046154304268e-06,0
43737.91562493873,66,0.0658188264430871,7.827889436520508e-06,2
31167.0394712644,57,0.012083012305912,0.0003731211771805,0
6090.662362607353,328,0.1675089451924582,7.464719875783133e-06,3
4254.03434148054,41,0.1087587482074213,7.0976721469675465e-06,1
1864.227405896327,512,0.0481522624910457,0.0005471619312614,1
274.54001541919274,411,0.002226516599101,1.609885214622914e-06,1
2561.302834444777,13,0.2197984477582878,0.0027791992393582,1
761.6683408225418,626,0.0311703523488987,0.002621489487494,2
205.5583114054006,806,0.1754505048504764,0.0002003076328589,1
15583.192149508452,72,0.1767930063909435,6.54259806999664e-05,1
78058.62505978088,222,0.0042902926925176,0.0001870399066795,3
1669.301869762396,745,0.1520509259663142,1.5731874886453414e-06,3
37244.1057340594,949,0.0126303378773027,0.0002705542167961,2
198.70588172235804,115,0.0028677490097654,2.6521561737406437e-05,2
20810.20157105916,620,0.1125370888390426,0.0002937491355395,3
7515.710605117502,732,0.2847397847786557,2.685994438161977e-05,1
2605.094348075551,259,0.1207474293344268,0.0002638748913358,0
27930.98557437853,197,0.2299491607515742,4.043298798559536e-06,3
46155.50794151668,1018,0.0014895570271116,0.0004029122750821,1
3618.452230613332,367,0.007120495411971,2.64715371079334e-06,3
2509.5736001915634,188,0.0094947928094213,5.594182809416642e-06,2
218.019566308326,638,0.1719338780501469,0.0022703241600089,0
370.6647956198931,442,0.1653269424630103,0.0004890101291295,1
532.504947122925,651,0.0130904612465859,0.0054783067879832,2
403.38493295916425,792,0.0070647767622375,7.234713009024106e-05,1
5526.191382840619,214,0.1744825649211501,2.000062204591229e-05,0
101.20080990578452,547,0.060546235156013,0.0027546322337794,0
859.0781782250064,965,0.0040238748017437,8.19654903699817e-06,0
1933.3089209081616,523,0.0066916850960095,0.0005317354585798,1
66361.51611855342,210,0.0517891554814963,0.0010259983363147,2
442.1168894976808,835,0.0123302230213482,1.9342797691399807e-06,1
107.34444093613769,264,0.0050386309036585,6.328252529981911e-05,1
1977.321219603601,595,0.0014426052417142,0.0007236556130104,1
172.5314184585244,824,0.0037240051241001,4.9147684645509465e-06,0
148.6146031303162,570,0.0073143606704955,0.0004455970242667,0
2684.2462095987253,716,0.030973149025428,2.286877192736312e-05,0
44151.393847770654,920,0.0012165093880266,3.229301908352849e-05,0
6238.270511411828,483,0.0083953909999397,0.0028280796867133,0
49795.11081148707,832,0.0240398853804174,0.002415979938527,2
1056.6678731872607,851,0.0542740816372409,4.021442679488288e-06,0
3351.4545264146277,195,0.0648649250265027,2.638636766804588e-06,1
15942.528183685738,558,0.0498769895347193,0.0002632105358494,0
592.467822950345,306,0.2535436133879059,2.082925765236329e-05,3
107.73035279527691,721,0.0179999731741044,1.1461410120434628e-05,0
1055.836330832663,461,0.0098592849206368,0.0044125575899937,1
20156.644386565025,339,0.1539905857636129,0.0028521003220576,2
28555.909847926643,207,0.0016335987015105,2.337822260911251e-05,1
720.500907501833,167,0.0039290459111236,1.347213279617172e-05,3
11605.014351901003,49,0.0012539527910191,0.0001330424753408,3
39442.51942759103,509,0.0015617452813829,0.0063199026675539,0
3426.001093037364,439,0.2784488323951845,1.0194605672238082e-05,1
3323.537655074807,125,0.1981197946039517,5.069660214995044e-05,2
1636.7043479643692,7,0.0012551689485768,8.011679910201719e-05,0
91850.47751582065,575,0.0019685627009388,4.7611636995762224e-05,1
492.2350898085022,516,0.0017945869767098,0.000322393315892,3
2332.0645153882774,917,0.0037476373251477,0.0006985758612755,1
998.0923885643252,198,0.0011576178186137,3.841920517190247e-06,2
157.44397122480171,1011,0.0077520791805281,4.109226833150564e-06,2
2431.487774711876,689,0.0023839731722496,0.0019785014539347,2
178.6755664914556,825,0.022147930698589,9.378004679161009e-06,3
20647.15845397362,444,0.0271079031399927,0.0007151805247958,1
421.5854868114642,443,0.0798146996379603,1.6137153315750845e-06,3
1376.8430214624093,294,0.0585686033806312,2.4945478079768483e-06,2
5139.848672103157,194,0.0338737978146779,0.0017073418002454,2
9448.241785032193,136,0.0085747213069349,2.706758395310973e-05,0
188.6585735507313,196,0.190575667891032,0.0016022390897283,2
3435.4364439449173,430,0.010859827219228,0.0006537702906782,0
224.1765517203376,333,0.3084957439742327,0.0001058859984226,2
12603.722216074577,821,0.1025758834206393,0.0006524341964401,1
1544.9590589814577,76,0.0037776952222396,0.0021034380483353,3
18926.590367880428,431,0.0075580042913688,0.0014902708816327,3
21949.5019644734,940,0.0010053244441493,0.0079597088362336,1
85942.94687955883,946,0.0997646776433804,3.4047704554254444e-05,2
3123.784697858741,929,0.0988714038860177,0.0002637160073564,0
740.0963260813583,579,0.0540813244414978,3.435395223461857e-05,0
40638.55337929844,697,0.0724393340868189,3.979518697576242e-06,1
17047.155173635678,559,0.0457800875883482,0.0003805921187532,0
1693.8750778126314,653,0.0593171156678639,0.0029620971633463,0
13726.176101666517,429,0.0199019451846901,0.0001222390220904,2
14340.687942770532,110,0.0226754556727821,0.00565056990668,0
30682.34749817793,875,0.0040416448771135,5.948635065919606e-06,2
29289.67475472136,41,0.1933472794183538,6.973624527840094e-05,2
15323.99803032814,478,0.0207548212401932,8.01814193471182e-05,1
5533.213336094533,960,0.0931687301862968,1.1479003889693307e-05,0
431.0681034535144,40,0.0034090472433281,7.022014813781441e-06,3
356.8478538994236,427,0.0116222866451839,2.237939334424268e-05,1
4685.11379471145,902,0.0513372914378931,0.0075168605562883,1
1804.6679918021885,553,0.0546941867276669,0.0005026377739364,3
1532.2450812420834,711,0.0028327661763476,0.0001853212984325,1
1079.1783368150843,778,0.0218913781637727,0.00729912503464,0
28645.38300812508,793,0.0530615883035257,0.0066274710417327,2
1102.226357522296,108,0.1230290189264195,2.049453707376964e-06,3
17103.06211315652,827,0.2415409394359554,2.860022017604237e-05,2
324.5709264348704,287,0.0399838597703243,1.3297576191064713e-05,1
408.8259808024365,613,0.0235675535817688,0.003144395179004,1
744.3882835531164,943,0.0129261957132558,0.0041343654723248,3
237.4103712722969,155,0.2171360541559124,0.0008214962397399,0
35404.150567569755,974,0.3122246960337058,0.0078176793805045,2
477.3533630391195,412,0.1752846223890116,0.0049702261412425,0
20925.831233062305,293,0.0545693942719523,7.278466841124345e-05,0
67474.08289048908,475,0.0677956450832624,0.0001354543372037,2
6364.655592632535,550,0.1364456488786067,3.747639262097778e-05,1
7674.334388057555,791,0.0056521879270614,2.948022131438509e-05,2
1703.9052789032903,229,0.002065631049239,1.4032596068988622e-06,1
253.98771541650615,321,0.1604681510788947,0.0005066394254086,0
735.0823425222732,902,0.1693432933203478,0.0005817776009504,3
3196.661647324723,934,0.0204115356511031,3.751145635136892e-05,1
12437.535957718645,350,0.0263543008947834,3.2388770637344495e-05,3
4974.637840273171,22,0.1766138037007107,1.0581975712908473e-06,1
89867.87802288256,600,0.1193319047781562,0.0012474095893952,3
176.1999526362058,46,0.0020230012965914,3.865827770522448e-05,1
56536.27919059466,600,0.0014977024888263,1.7667622343075937e-05,1
181.2493749840268,472,0.0023334954898927,0.004760634728652,3
19992.053683047903,512,0.0632982736097564,1.3729739484242805e-06,0
44141.92862165927,448,0.1778209597862139,0.0002713052321115,2
4027.710019157912,430,0.0103433386824062,0.0043707593096329,0
65734.07725599088,860,0.013138110673409,7.876939463452982e-05,1
228.7372682699316,990,0.0315039089185686,0.0002462997842474,3
1330.9987729468626,632,0.0038190581456946,1.5218236906485e-06,1
605.7235476368104,852,0.0068211475086969,0.0027088829433427,0
1452.2764643942817,785,0.0061163888376857,0.0047333273011511,0
71716.19574043847,116,0.0054642991849461,2.5272836824742643e-05,0
725.3785590873551,925,0.3021695874070354,7.795239448330845e-05,1
31281.43245592763,313,0.0113013856408589,0.0013177521182572,0
3150.805070813231,563,0.1919104573845781,2.068251017480004e-06,2
50968.05559008934,400,0.1203980169265942,0.0007338948418959,1
1130.877788639422,683,0.0033532744892217,0.0011174155184153,3
5673.033379624019,668,0.0043856568432968,0.0011511742292153,0
9859.128607600094,765,0.0022786583305874,0.0001142456793635,2
6965.638400155095,110,0.0023332645919716,0.0037443325898561,3
1656.1970930032526,733,0.0012032531743805,2.3091546566984258e-06,2
63622.45468757877,20,0.0093578353290826,1.26508655569362e-05,2
4712.397964643962,31,0.2712565933775711,1.2411142375836668e-06,3
1604.2568917251626,706,0.2534157322901006,6.021669222382473e-05,3
307.1986712367095,171,0.0048488931125005,1.6002447876028904e-06,0
11105.816128535293,617,0.0467472275717277,0.0056242440742208,1
258.07855819048143,200,0.0397958359388613,1.099307321261918e-05,2
1743.5425735333638,781,0.0010622047693753,0.0022419251336285,0
576.5381578590758,427,0.0010877452362193,0.0003341485532953,0
1280.989712732414,553,0.0143234446099007,0.0018277140672356,3
235.19553002715747,322,0.0086092228686858,2.994550767638304e-05,2
1403.7916244014075,627,0.0123391796328754,2.619932123466297e-06,1
1014.7215680775464,773,0.0738495201694967,0.0024670942462707,2
439.3365551095369,185,0.0076123382081146,1.859352063529741e-05,1
49750.39531998915,512,0.0548649040211872,8.048432071865112e-05,1
619.8724917533405,933,0.0129731634483347,0.0008739472113221,2
4635.606527812613,935,0.0029442920192263,0.0003631513433116,3
118.25539958172966,590,0.0096482407816895,8.927740209947475e-05,2
27256.009627990992,325,0.0363009161154095,0.0024155630890827,1
120.99041896424391,875,0.0213636602839378,3.945912724721882e-05,3
77558.99368871043,1012,0.0196509141500741,0.0001190356258197,3
368.7973698492569,895,0.0159711004957704,0.0065719745433371,2
6390.538146459364,854,0.0136250626325128,1.579723570319272e-06,3
21557.46927205002,665,0.015809036914865,1.340731204504591e-05,1
43309.22491737477,810,0.0109035933595227,2.0426250514269407e-06,0
103.21989676546028,478,0.0580968497728088,3.3208655732087887e-06,3
3214.665246650648,108,0.0098991507849799,2.325100784490012e-05,2
773.4601370765926,536,0.0023633240805402,0.0025539399425704,2
111.22162872717917,246,0.2919492085852435,1.5951497928269373e-05,3
358.5246684144972,718,0.0042080916810311,0.0017325282418319,2
1530.9208713529208,659,0.0020069905831991,1.175173548224567e-06,3
120.48694542316368,1003,0.0026038349952668,0.0002191193982255,0
998.7285279882644,960,0.0117296778663726,2.1210192349327247e-05,2
59780.36475698221,88,0.2255693112628495,0.0007143330701812,1
30669.755031871537,901,0.0118757479179029,0.0003202204693615,3
186.9020218723763,458,0.1738424981541579,0.0086622870075357,1
